Job Title,Company,Date,Type,Location,Skills,Job Link
IE Data Analyst (Industrial Engineering) - Garments or Apparel Manufacturing,T&C Garments,posted 2 months ago,Full Time,"Obour City, Cairo","Analyst/Research, Engineering - Telecom/Technology, Engineering - Mechanical/Electrical, Industrial Engineering, Data Analysis, Process Improvement, Time and Motion Study, Lean Manufacturing, Power BI, Microsoft Excel, Workflow Optimization, Statistical Analysis, Report Writing",http://wuzzuf.net/jobs/p/otijztbj8wil-ie-data-analyst-industrial-engineering-garments-or-apparel-manufacturing-tc-garments-cairo-egypt
Data Analyst,GPS,posted 2 months ago,Full Time,"Heliopolis, Cairo","Analyst/Research, SQL, Microsoft Excel, Power BI, Tableau, Data Analysis, Data Visualization, Reporting, Problem Solving, Statistical Analysis",http://wuzzuf.net/jobs/p/udg6wsijjfs7-data-analyst-gps-cairo-egypt
IT Business Analyst Manager (AEC),Dewan Architects and Eng,posted 25 days ago,Full Time,"New Cairo, Cairo","IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Business Analysis, Analysis, Computer Science, Information Technology (IT), BIM, ITIL, • CBAP/CCBA, PRINCE2, ISO 19650",http://wuzzuf.net/jobs/p/iqofronbfx3c-it-business-analyst-manager-aec-dewan-architects-and-engineers-cairo-egypt
Development and Pricing Analyst - Real Estate,Upwyde,posted 25 days ago,Full Time,"New Cairo, Cairo","Accounting/Finance, Business Development, Analyst/Research, Business Analysis, Development, Pricing, Real Estate",http://wuzzuf.net/jobs/p/qc28xcdl3hke-development-and-pricing-analyst-real-estate-upwyde-cairo-egypt
Senior FP&A Analyst,Transmar International,posted 26 days ago,Full Time,"Cairo, Egypt","Accounting/Finance, Financial Analysis, Finance",http://wuzzuf.net/jobs/p/dyghrjhuwz0a-senior-fpa-analyst-transmar-international-cairo-egypt
Kochava Specialist,WeLyra,posted 10 days ago,مشروع مستقل,"القاهرة الجديدة, القاهرة","تكنولوجيا المعلومات/تطوير البرمجيات, Campaigns Analyst, Kochava Specialist, Mobile Attribution, Data Analysis, SQL, Reporting & Analytics, A/B Testing, Marketing Analytics, Performance Marketing, Data Visualization, Problem-solving, Communication",http://wuzzuf.net/jobs/p/ild9o9bxpl39-kochava-specialist-welyra-cairo-egypt
Cost Accountant,GB Corp,posted 10 days ago,Full Time,"Obour City, Cairo","Accounting/Finance, Accounting, Cost Accountant, Finance, Cost, Cost Accounting, Cost Analyst, Financial Analysis, Budgeting, Forecasting, Variance Analysis, GAAP, IFRS, Financial Reporting, Data Analysis, Problem-solving",http://wuzzuf.net/jobs/p/wrstkndaeihi-cost-accountant-gb-corp-cairo-egypt
Software Business Analyst - Project Manager,eBSEG,posted 30 days ago,Full Time,"New Cairo, Cairo","IT/Software Development, Project/Program Management, Analyst/Research, PMP, Project Management, Software Development, Analytical, Information Technology (IT), Software, Software Engineering, Computer Science, Telecommunication, Engineering, Business Analysis",http://wuzzuf.net/jobs/p/a9wbmkxkncnc-software-business-analyst-project-manager-ebseg-cairo-egypt
Senior (Associate) Financial Analyst,PRE Group,posted 2 months ago,Full Time,"New Cairo, Cairo","Accounting/Finance, Analyst/Research, Investment, Microsoft Excel, Microsoft Powerpoint, Financial Modeling, Asset Management, Equity Research, Investment Banking, Microsoft excel, Microsoft powerpoint, Financial modeling, Asset management, Equity research, Investment banking, Financial analysis, Budgeting, Forecasting, Variance analysis, Data analysis, Reporting",http://wuzzuf.net/jobs/p/vlfiu6lbftnt-senior-associate-financial-analyst-pre-group-cairo-egypt
Quality Assurance Automation Analyst,Daam,posted 1 month ago,Full Time,"Maadi, Cairo","IT/Software Development, Quality, Engineering - Telecom/Technology, ISTQB, Computer Science, Information Technology (IT), CI/CD, Java, C#, Python, JavaScript",http://wuzzuf.net/jobs/p/sssbsx88qog4-quality-assurance-automation-analyst-daam-cairo-egypt
